Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
V Kohli,17,17,2,1026,183,68.4,1094,93.78,5,3,1,92,5,2012
G Gambhir,16,16,0,685,102,42.81,836,81.93,2,5,2,55,0,2012
MS Dhoni,16,14,6,524,113*,65.5,598,87.62,1,3,0,37,9,2012
SK Raina,17,17,5,492,65*,41,508,96.85,0,4,1,36,10,2012
SR Tendulkar,10,10,0,315,114,31.5,387,81.39,1,1,0,35,2,2012
V Sehwag,10,10,0,217,96,21.7,216,100.46,0,1,1,30,1,2012
IK Pathan,12,8,3,172,47,34.4,170,101.17,0,0,0,15,4,2012
RG Sharma,14,13,0,168,68,12.92,251,66.93,0,1,3,12,2,2012
R Ashwin,16,10,5,135,31*,27,158,85.44,0,0,0,11,0,2012
RA Jadeja,10,8,2,105,24*,17.5,146,71.91,0,0,0,4,0,2012
MK Tiwary,2,2,0,86,65,43,106,81.13,0,1,0,8,0,2012
R Vinay Kumar,7,4,1,19,12*,6.33,33,57.57,0,0,1,1,0,2012
P Kumar,7,2,0,16,15,8,21,76.19,0,0,0,2,0,2012
Z Khan,9,2,0,11,9,5.5,15,73.33,0,0,0,2,0,2012
AM Rahane,1,1,0,9,9,9,17,52.94,0,0,0,1,0,2012
UT Yadav,8,5,5,6,6*,-,14,42.85,0,0,0,1,0,2012
PP Ojha,2,1,0,5,5,5,18,27.77,0,0,0,0,0,2012
PA Patel,1,1,0,4,4,4,7,57.14,0,0,0,0,0,2012
Yuvraj Singh,1,1,0,2,2,2,3,66.66,0,0,0,0,0,2012
R Sharma,2,1,0,1,1,1,2,50,0,0,0,0,0,2012
AB Dinda,6,-,-,-,-,-,-,-,-,-,-,-,-,2012
B Kumar,1,-,-,-,-,-,-,-,-,-,-,-,-,2012
YK Pathan,1,-,-,-,-,-,-,-,-,-,-,-,-,2012
I Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,2012
