Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
JJ Bumrah,8,8,68.3,4,249,17,4/22,14.64,3.63,24.1,2,0,2016
A Mishra,5,5,44.5,2,215,15,5/18,14.33,4.79,17.9,0,1,2016
UT Yadav,10,10,88.5,2,581,15,3/67,38.73,6.54,35.5,0,0,2016
I Sharma,4,4,40.0,0,250,9,4/77,27.77,6.25,26.6,1,0,2016
AR Patel,8,8,70.4,4,250,7,2/9,35.71,3.53,60.5,0,0,2016
BB Sran,6,6,50.2,2,269,7,3/56,38.42,5.34,43.1,0,0,2016
YS Chahal,3,3,24.0,3,77,6,3/25,12.83,3.2,24,0,0,2016
KM Jadhav,8,4,18.0,0,73,6,3/29,12.16,4.05,18,0,0,2016
DS Kulkarni,4,4,32.2,3,149,6,2/31,24.83,4.6,32.3,0,0,2016
HH Pandya,4,4,26.0,0,141,4,3/31,35.25,5.42,39,0,0,2016
RA Jadeja,5,5,48.0,0,257,3,2/49,85.66,5.35,96,0,0,2016
R Ashwin,2,2,19.0,0,128,2,2/68,64,6.73,57,0,0,2016
R Dhawan,3,3,25.0,0,160,1,1/74,160,6.4,150,0,0,2016
J Yadav,1,1,4.0,0,8,1,1/8,8,2,24,0,0,2016
Gurkeerat Singh,3,3,10.0,0,68,0,-,-,6.8,-,0,0,2016
V Kohli,10,2,3.0,0,20,0,-,-,6.66,-,0,0,2016
B Kumar,2,2,17.0,0,111,0,-,-,6.52,-,0,0,2016
RG Sharma,10,1,1.0,0,11,0,-,-,11,-,0,0,2016
S Dhawan,5,-,-,-,-,-,-,-,-,-,-,-,2016
MS Dhoni,13,-,-,-,-,-,-,-,-,-,-,-,2016
FY Fazal,1,-,-,-,-,-,-,-,-,-,-,-,2016
KK Nair,2,-,-,-,-,-,-,-,-,-,-,-,2016
MK Pandey,11,-,-,-,-,-,-,-,-,-,-,-,2016
AM Rahane,9,-,-,-,-,-,-,-,-,-,-,-,2016
KL Rahul,3,-,-,-,-,-,-,-,-,-,-,-,2016
AT Rayudu,3,-,-,-,-,-,-,-,-,-,-,-,2016
