Player Name,Matches,Innings,Not Outs,Runs,High Score,Average,Balls Faced,Strike Rate,100s,50s,Ducks,4s,6s,Year
RG Sharma,11,11,0,424,74,38.54,281,150.88,0,5,1,39,23,2021
V Kohli,10,8,4,299,80*,74.75,225,132.88,0,4,1,25,10,2021
KL Rahul,11,11,1,289,69,28.9,221,130.76,0,4,2,28,10,2021
SA Yadav,11,9,2,244,62,34.85,157,155.41,0,3,1,25,12,2021
RR Pant,13,10,3,213,39,30.42,170,125.29,0,0,0,16,10,2021
HH Pandya,11,8,2,165,39*,27.5,118,139.83,0,0,0,12,8,2021
SS Iyer,8,6,1,151,67,30.2,111,136.03,0,1,0,16,2,2021
Ishan Kishan,5,5,1,113,56,28.25,84,134.52,0,1,0,13,5,2021
S Dhawan,4,4,0,90,46,22.5,91,98.9,0,0,1,9,1,2021
RA Jadeja,5,2,1,39,26*,39,32,121.87,0,0,0,3,1,2021
D Padikkal,2,2,0,38,29,19,38,100,0,0,0,2,1,2021
VR Iyer,3,3,1,36,20,18,28,128.57,0,0,0,4,1,2021
RD Gaikwad,2,2,0,35,21,17.5,28,125,0,0,0,3,0,2021
B Kumar,12,4,3,34,16,34,47,72.34,0,0,0,0,0,2021
SV Samson,3,3,0,34,27,11.33,36,94.44,0,0,1,2,1,2021
Kuldeep Yadav,2,1,1,23,23*,-,28,82.14,0,0,0,0,0,2021
DL Chahar,4,1,1,21,21*,-,8,262.5,0,0,0,2,1,2021
HV Patel,2,1,0,18,18,18,11,163.63,0,0,0,2,1,2021
N Rana,2,2,0,15,9,7.5,27,55.55,0,0,0,0,0,2021
AR Patel,4,3,3,10,7*,-,8,125,0,0,0,1,0,2021
SN Thakur,7,3,1,10,10*,5,8,125,0,0,2,2,0,2021
Washington Sundar,5,2,1,7,4,7,5,140,0,0,0,1,0,2021
RD Chahar,5,1,0,5,5,5,5,100,0,0,0,1,0,2021
C Sakariya,2,1,1,5,5*,-,9,55.55,0,0,0,0,0,2021
KH Pandya,1,1,1,3,3*,-,3,100,0,0,0,0,0,2021
NA Saini,1,1,1,1,1*,-,1,100,0,0,0,0,0,2021
Mohammed Shami,5,2,2,0,0*,-,0,-,0,0,0,0,0,2021
PP Shaw,1,1,0,0,0,0,1,0,0,0,1,0,0,2021
CV Varun,6,1,0,0,0,0,2,0,0,0,1,0,0,2021
R Ashwin,5,-,-,-,-,-,-,-,-,-,-,-,-,2021
JJ Bumrah,5,-,-,-,-,-,-,-,-,-,-,-,-,2021
YS Chahal,5,-,-,-,-,-,-,-,-,-,-,-,-,2021
Mohammed Siraj,1,-,-,-,-,-,-,-,-,-,-,-,-,2021
T Natarajan,1,-,-,-,-,-,-,-,-,-,-,-,-,2021
S Sandeep Warrier,1,-,-,-,-,-,-,-,-,-,-,-,-,2021
