Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
MM Patel,3,3,10.0,0,86,4,2/25,21.5,8.6,15,0,0,2011
P Kumar,4,4,12.0,1,84,3,1/17,28,7,24,0,0,2011
YK Pathan,3,3,10.0,0,78,3,2/22,26,7.8,20,0,0,2011
R Ashwin,4,4,16.0,0,120,2,1/30,60,7.5,48,0,0,2011
Harbhajan Singh,1,1,4.0,0,25,2,2/25,12.5,6.25,12,0,0,2011
V Kohli,4,2,5.4,0,35,2,1/13,17.5,6.17,17,0,0,2011
A Nehra,1,1,4.0,0,22,2,2/22,11,5.5,12,0,0,2011
RA Jadeja,1,1,4.0,1,9,1,1/9,9,2.25,24,0,0,2011
SK Raina,4,1,2.0,0,9,1,1/9,9,4.5,12,0,0,2011
Yuvraj Singh,1,1,4.0,0,20,1,1/20,20,5,24,0,0,2011
RG Sharma,3,1,1.0,0,16,0,-,-,16,-,0,0,2011
R Vinay Kumar,2,2,5.3,0,54,0,-,-,9.81,-,0,0,2011
S Badrinath,1,-,-,-,-,-,-,-,-,-,-,-,2011
S Dhawan,1,-,-,-,-,-,-,-,-,-,-,-,2011
MS Dhoni,3,-,-,-,-,-,-,-,-,-,-,-,2011
R Dravid,1,-,-,-,-,-,-,-,-,-,-,-,2011
PA Patel,2,-,-,-,-,-,-,-,-,-,-,-,2011
AM Rahane,2,-,-,-,-,-,-,-,-,-,-,-,2011
MK Tiwary,1,-,-,-,-,-,-,-,-,-,-,-,2011
RV Uthappa,1,-,-,-,-,-,-,-,-,-,-,-,2011
M Vijay,1,-,-,-,-,-,-,-,-,-,-,-,2011
